id,direction,start_price,close_price,start_time,close_time,decision
1,up,1.2936800000,1.2961800000,2012-01-01 22:00:36,2012-01-02 09:01:53,up
2,down,1.2961800000,1.2936800000,2012-01-02 09:01:53,2012-01-02 12:50:54,up
3,up,1.2936800000,1.2961800000,2012-01-02 12:50:54,2012-01-03 01:15:38,up
4,up,1.2961800000,1.2986800000,2012-01-03 01:15:38,2012-01-03 02:08:58,up
5,up,1.2986800000,1.3011800000,2012-01-03 02:08:58,2012-01-03 09:53:28,up
6,up,1.3011800000,1.3036800000,2012-01-03 09:53:28,2012-01-03 10:10:06,down
7,down,1.3036800000,1.3011800000,2012-01-03 10:10:06,2012-01-03 13:13:42,up
8,up,1.3011800000,1.3036800000,2012-01-03 13:13:42,2012-01-03 14:07:47,down
9,up,1.3036800000,1.3061800000,2012-01-03 14:07:47,2012-01-03 15:21:09,down
10,down,1.3061800000,1.3036800000,2012-01-03 15:21:09,2012-01-04 02:34:40,down
11,up,1.3036800000,1.3061800000,2012-01-04 02:34:40,2012-01-04 08:04:43,down
12,down,1.3061800000,1.3036800000,2012-01-04 08:04:43,2012-01-04 08:55:34,down
13,down,1.3036800000,1.3011800000,2012-01-04 08:55:34,2012-01-04 10:51:10,down
14,down,1.3011800000,1.2986800000,2012-01-04 10:51:10,2012-01-04 11:25:34,down
15,down,1.2986800000,1.2961800000,2012-01-04 11:25:34,2012-01-04 13:05:09,down
16,down,1.2961800000,1.2936800000,2012-01-04 13:05:09,2012-01-04 13:57:30,down
17,down,1.2936800000,1.2911800000,2012-01-04 13:57:30,2012-01-04 15:30:43,down
18,up,1.2911800000,1.2936800000,2012-01-04 15:30:43,2012-01-04 17:07:11,down
19,down,1.2936800000,1.2911800000,2012-01-04 17:07:11,2012-01-05 06:01:33,down
20,up,1.2911800000,1.2936800000,2012-01-05 06:01:33,2012-01-05 07:54:58,down
21,down,1.2936800000,1.2911800000,2012-01-05 07:54:58,2012-01-05 08:30:20,down
22,down,1.2911800000,1.2886800000,2012-01-05 08:30:20,2012-01-05 08:48:58,down
23,down,1.2886800000,1.2861800000,2012-01-05 08:48:58,2012-01-05 08:58:49,down
24,down,1.2861800000,1.2836800000,2012-01-05 08:58:49,2012-01-05 10:07:16,down
25,down,1.2836800000,1.2811800000,2012-01-05 10:07:16,2012-01-05 13:18:32,down
26,up,1.2811800000,1.2836800000,2012-01-05 13:18:32,2012-01-05 13:41:24,down
27,down,1.2836800000,1.2811800000,2012-01-05 13:41:24,2012-01-05 13:56:19,down
28,down,1.2811800000,1.2786800000,2012-01-05 13:56:19,2012-01-05 14:44:12,down
29,up,1.2786800000,1.2811800000,2012-01-05 14:44:12,2012-01-05 15:15:13,down
30,down,1.2811800000,1.2786800000,2012-01-05 15:15:13,2012-01-05 16:05:15,down
31,up,1.2786800000,1.2811800000,2012-01-05 16:05:15,2012-01-06 08:56:27,down
32,down,1.2811800000,1.2786800000,2012-01-06 08:56:27,2012-01-06 11:02:16,down
33,down,1.2786800000,1.2761800000,2012-01-06 11:02:16,2012-01-06 13:31:47,down
34,down,1.2761800000,1.2736800000,2012-01-06 13:31:47,2012-01-06 13:40:58,down
35,down,1.2736800000,1.2711800000,2012-01-06 13:40:58,2012-01-06 14:52:54,up
36,down,1.2711800000,1.2686800000,2012-01-06 14:52:54,2012-01-08 23:08:32,up
37,up,1.2686800000,1.2711800000,2012-01-08 23:08:32,2012-01-09 05:24:58,up
38,up,1.2711800000,1.2736800000,2012-01-09 05:24:58,2012-01-09 07:32:57,up
39,up,1.2736800000,1.2761800000,2012-01-09 07:32:57,2012-01-09 08:35:30,down
40,down,1.2761800000,1.2736800000,2012-01-09 08:35:30,2012-01-09 13:02:16,up
41,up,1.2736800000,1.2761800000,2012-01-09 13:02:16,2012-01-09 14:08:12,up
42,down,1.2761800000,1.2736800000,2012-01-09 14:08:12,2012-01-09 14:42:15,up
43,up,1.2736800000,1.2761800000,2012-01-09 14:42:15,2012-01-09 19:14:55,down
44,up,1.2761800000,1.2786800000,2012-01-09 19:14:55,2012-01-10 05:05:02,down
45,down,1.2786800000,1.2761800000,2012-01-10 05:05:02,2012-01-10 08:06:29,up
46,up,1.2761800000,1.2786800000,2012-01-10 08:06:29,2012-01-10 09:25:21,down
47,up,1.2786800000,1.2811800000,2012-01-10 09:25:21,2012-01-10 13:04:24,down
48,down,1.2811800000,1.2786800000,2012-01-10 13:04:24,2012-01-10 14:17:34,down
49,down,1.2786800000,1.2761800000,2012-01-10 14:17:34,2012-01-10 23:54:35,down
50,down,1.2761800000,1.2736800000,2012-01-10 23:54:35,2012-01-11 01:06:12,up
51,up,1.2736800000,1.2761800000,2012-01-11 01:06:12,2012-01-11 08:12:37,down
52,up,1.2761800000,1.2786800000,2012-01-11 08:12:37,2012-01-11 09:25:10,down
53,down,1.2786800000,1.2761800000,2012-01-11 09:25:10,2012-01-11 10:27:56,down
54,down,1.2761800000,1.2736800000,2012-01-11 10:27:56,2012-01-11 11:19:41,down
55,down,1.2736800000,1.2711800000,2012-01-11 11:19:41,2012-01-11 11:24:33,up
56,down,1.2711800000,1.2686800000,2012-01-11 11:24:33,2012-01-11 12:05:29,up
57,up,1.2686800000,1.2711800000,2012-01-11 12:05:29,2012-01-11 12:55:30,up
58,down,1.2711800000,1.2686800000,2012-01-11 12:55:30,2012-01-11 14:33:23,up
59,up,1.2686800000,1.2711800000,2012-01-11 14:33:23,2012-01-11 23:19:39,up
60,up,1.2711800000,1.2736800000,2012-01-11 23:19:39,2012-01-12 09:49:55,up
61,up,1.2736800000,1.2761800000,2012-01-12 09:49:55,2012-01-12 10:41:29,up
62,down,1.2761800000,1.2736800000,2012-01-12 10:41:29,2012-01-12 13:14:49,up
63,up,1.2736800000,1.2761800000,2012-01-12 13:14:49,2012-01-12 14:01:09,up
64,up,1.2761800000,1.2786800000,2012-01-12 14:01:09,2012-01-12 14:11:46,down
65,up,1.2786800000,1.2811800000,2012-01-12 14:11:46,2012-01-12 14:55:35,down
66,up,1.2811800000,1.2836800000,2012-01-12 14:55:35,2012-01-12 17:33:01,down
67,down,1.2836800000,1.2811800000,2012-01-12 17:33:01,2012-01-12 22:00:20,up
68,up,1.2811800000,1.2836800000,2012-01-12 22:00:20,2012-01-13 05:30:40,down
69,up,1.2836800000,1.2861800000,2012-01-13 05:30:40,2012-01-13 06:09:21,down
70,down,1.2861800000,1.2836800000,2012-01-13 06:09:21,2012-01-13 09:00:50,down
71,down,1.2836800000,1.2811800000,2012-01-13 09:00:50,2012-01-13 10:23:58,down
72,down,1.2811800000,1.2786800000,2012-01-13 10:23:58,2012-01-13 10:41:40,down
73,down,1.2786800000,1.2761800000,2012-01-13 10:41:40,2012-01-13 13:47:19,down
74,down,1.2761800000,1.2736800000,2012-01-13 13:47:19,2012-01-13 13:57:44,down
75,down,1.2736800000,1.2711800000,2012-01-13 13:57:44,2012-01-13 14:05:22,down
76,down,1.2711800000,1.2686800000,2012-01-13 14:05:22,2012-01-13 14:26:56,up
77,down,1.2686800000,1.2661800000,2012-01-13 14:26:56,2012-01-13 15:08:08,up
78,down,1.2661800000,1.2636800000,2012-01-13 15:08:08,2012-01-13 15:20:01,up
79,up,1.2636800000,1.2661800000,2012-01-13 15:20:01,2012-01-13 15:27:51,up
80,up,1.2661800000,1.2686800000,2012-01-13 15:27:51,2012-01-13 16:51:13,down
81,down,1.2686800000,1.2661800000,2012-01-13 16:51:13,2012-01-13 17:33:09,up
82,up,1.2661800000,1.2686800000,2012-01-13 17:33:09,2012-01-13 20:55:15,up
83,down,1.2686800000,1.2661800000,2012-01-13 20:55:15,2012-01-13 21:38:02,up
84,down,1.2661800000,1.2636800000,2012-01-13 21:38:02,2012-01-15 22:00:02,up
85,up,1.2636800000,1.2661800000,2012-01-15 22:00:02,2012-01-16 07:43:16,up
86,up,1.2661800000,1.2686800000,2012-01-16 07:43:16,2012-01-16 16:22:28,up
87,down,1.2686800000,1.2661800000,2012-01-16 16:22:28,2012-01-16 18:16:00,up
88,up,1.2661800000,1.2686800000,2012-01-16 18:16:00,2012-01-17 01:51:18,up
89,up,1.2686800000,1.2711800000,2012-01-17 01:51:18,2012-01-17 01:59:50,up
90,up,1.2711800000,1.2736800000,2012-01-17 01:59:50,2012-01-17 07:07:40,up
91,up,1.2736800000,1.2761800000,2012-01-17 07:07:40,2012-01-17 07:44:12,up
92,up,1.2761800000,1.2786800000,2012-01-17 07:44:12,2012-01-17 10:01:09,down
93,down,1.2786800000,1.2761800000,2012-01-17 10:01:09,2012-01-17 13:45:28,up
94,down,1.2761800000,1.2736800000,2012-01-17 13:45:28,2012-01-17 13:59:41,up
95,up,1.2736800000,1.2761800000,2012-01-17 13:59:41,2012-01-18 01:05:13,up
96,up,1.2761800000,1.2786800000,2012-01-18 01:05:13,2012-01-18 03:48:20,down
97,down,1.2786800000,1.2761800000,2012-01-18 03:48:20,2012-01-18 06:04:53,up
